,RAPAOPRT,,,,,,,,,
,,,,,,,,,,
CHANI,-2,MaxDiameter,1.29,MinDiameter,0.01,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,8.3,8.3,7.3,7.3,6.4,5.6,4.9,4.3,3.5,2.8
F,8.3,8.3,7.3,7.3,6.4,5.6,4.9,4.3,3.5,2.8
G,7.5,7.5,6.6,6.6,5.7,5,4.4,3.8,3.1,2.6
H,7.5,7.5,6.6,6.6,5.7,5,4.4,3.8,3.1,2.6
I,6.7,6.7,5.9,5.9,5.2,4.6,4,3.4,2.8,2.4
J,6.7,6.7,5.9,5.9,5.2,4.6,4,3.4,2.8,2.4
K,4.6,4.6,4.1,4.1,3.6,3.2,2.8,2.5,2,1.6
L,4.6,4.6,4.1,4.1,3.6,3.2,2.8,2.5,2,1.6
M,3.1,3.1,2.7,2.7,2.4,2,1.8,1.6,1.4,1.2
N,3.1,3.1,2.7,2.7,2.4,2,1.8,1.6,1.4,1.2
,,,,,,,,,,
,,,,,,,,,,
CHANI,-4,MaxDiameter,1.49,MinDiameter,1.3,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,8.3,8.3,7.3,7.3,6.4,5.6,4.9,4.3,3.5,2.8
F,8.3,8.3,7.3,7.3,6.4,5.6,4.9,4.3,3.5,2.8
G,7.5,7.5,6.6,6.6,5.7,5,4.4,3.8,3.1,2.6
H,7.5,7.5,6.6,6.6,5.7,5,4.4,3.8,3.1,2.6
I,6.7,6.7,5.9,5.9,5.2,4.6,4,3.4,2.8,2.4
J,6.7,6.7,5.9,5.9,5.2,4.6,4,3.4,2.8,2.4
K,4.6,4.6,4.1,4.1,3.6,3.2,2.8,2.5,2,1.6
L,4.6,4.6,4.1,4.1,3.6,3.2,2.8,2.5,2,1.6
M,3.1,3.1,2.7,2.7,2.4,2,1.8,1.6,1.4,1.2
N,3.1,3.1,2.7,2.7,2.4,2,1.8,1.6,1.4,1.2
,,,,,,,,,,
,,,,,,,,,,
CHANI,+4-7,MaxDiameter,1.99,MinDiameter,1.5,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,9.5,9.5,8.3,8.3,7.2,6.2,5.3,4.8,4,3.1
F,9.5,9.5,8.3,8.3,7.2,6.2,5.3,4.8,4,3.1
G,8.1,8.1,7.1,7.1,6.2,5.5,4.9,4.4,3.6,2.8
H,8.1,8.1,7.1,7.1,6.2,5.5,4.9,4.4,3.6,2.8
I,7.2,7.2,6.4,6.4,5.7,5.1,4.5,4,3.2,2.6
J,7.2,7.2,6.4,6.4,5.7,5.1,4.5,4,3.2,2.6
K,4.9,4.9,4.4,4.4,4,3.5,3.1,2.7,2.2,1.7
L,4.9,4.9,4.4,4.4,4,3.5,3.1,2.7,2.2,1.7
M,3.3,3.3,2.9,2.9,2.6,2.2,1.9,1.7,1.5,1.3
N,3.3,3.3,2.9,2.9,2.6,2.2,1.9,1.7,1.5,1.3
,,,,,,,,,,
,,,,,,,,,,
CHANI,+7-8,MaxDiameter,2.19,MinDiameter,2,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,9.5,9.5,8.3,8.3,7.2,6.2,5.3,4.8,4,3.1
F,9.5,9.5,8.3,8.3,7.2,6.2,5.3,4.8,4,3.1
G,8.1,8.1,7.1,7.1,6.2,5.5,4.9,4.4,3.6,2.8
H,8.1,8.1,7.1,7.1,6.2,5.5,4.9,4.4,3.6,2.8
I,7.2,7.2,6.4,6.4,5.7,5.1,4.5,4,3.2,2.6
J,7.2,7.2,6.4,6.4,5.7,5.1,4.5,4,3.2,2.6
K,4.9,4.9,4.4,4.4,4,3.5,3.1,2.7,2.2,1.7
L,4.9,4.9,4.4,4.4,4,3.5,3.1,2.7,2.2,1.7
M,3.3,3.3,2.9,2.9,2.6,2.2,1.9,1.7,1.5,1.3
N,3.3,3.3,2.9,2.9,2.6,2.2,1.9,1.7,1.5,1.3
,,,,,,,,,,
CHANI,+8-11,MaxDiameter,2.79,MinDiameter,2.2,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,10.6,10.6,9.6,9.6,8.5,7.6,6.8,5.7,4.8,4
F,10.6,10.6,9.6,9.6,8.5,7.6,6.8,5.7,4.8,4
G,9.3,9.3,8.5,8.5,7.7,6.9,6.2,5.2,4.3,3.6
H,9.3,9.3,8.5,8.5,7.7,6.9,6.2,5.2,4.3,3.6
I,8.4,8.4,7.7,7.7,6.8,6.1,5.4,4.7,3.9,3.2
J,8.4,8.4,7.7,7.7,6.8,6.1,5.4,4.7,3.9,3.2
K,6.6,6.6,6.8,6.8,5.3,4.7,4,3.4,4.8,2.3
L,6.6,6.6,6.8,6.8,5.3,4.7,4,3.4,4.8,2.3
M,4.3,4.3,5.3,5.3,5.3,3,2.6,2.2,1.9,1.6
N,4.3,4.3,5.3,5.3,5.3,3,2.6,2.2,1.9,1.6
,,,,,,,,,,
CHANI,+11-11.5,MaxDiameter,2.89,MinDiameter,2.8,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,10.6,10.6,9.6,9.6,8.5,7.6,6.8,5.7,4.8,4
F,10.6,10.6,9.6,9.6,8.5,7.6,6.8,5.7,4.8,4
G,9.3,9.3,8.5,8.5,7.7,6.9,6.2,5.2,4.3,3.6
H,9.3,9.3,8.5,8.5,7.7,6.9,6.2,5.2,4.3,3.6
I,8.4,8.4,7.7,7.7,6.8,6.1,5.4,4.7,3.9,3.2
J,8.4,8.4,7.7,7.7,6.8,6.1,5.4,4.7,3.9,3.2
K,6.6,6.6,6.8,6.8,5.3,4.7,4,3.4,4.8,2.3
L,6.6,6.6,6.8,6.8,5.3,4.7,4,3.4,4.8,2.3
M,4.3,4.3,5.3,5.3,5.3,3,2.6,2.2,1.9,1.6
N,4.3,4.3,5.3,5.3,5.3,3,2.6,2.2,1.9,1.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CHANI,+14-18,MaxDiameter,3.54,MinDiameter,3.4,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,12.5,12.5,11.1,11.1,9.8,8.5,7.6,6.4,5.2,5.2
F,12.5,12.5,11.1,11.1,9.8,8.5,7.6,6.4,5.2,5.2
G,11,11,9.9,9.9,8.7,7.7,6.8,5.7,4.7,4.7
H,11,11,9.9,9.9,8.7,7.7,6.8,5.7,4.7,4.7
I,9.7,9.7,8.7,8.7,7.6,6.7,5.9,5.2,4.3,4.3
J,9.7,9.7,8.7,8.7,7.6,6.7,5.9,5.2,4.3,4.3
K,7.7,7.7,6.8,6.8,5.9,5.1,4.3,3.7,3.1,3.1
L,7.7,7.7,6.8,6.8,5.9,5.1,4.3,3.7,3.1,3.1
M,5.3,5.3,4.7,4.7,4.1,3.6,3.1,2.6,2.2,2.2
N,5.3,5.3,4.7,4.7,4.1,3.6,3.1,2.6,2.2,2.2
,,,,,,,,,,
,,,,,,,,,,
CHANI,+18-17,MaxDiameter,3.54,MinDiameter,3.4,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,14.6,14.6,12.6,12.6,11.1,9.6,8.4,6.9,5.6,4.8
F,14.6,14.6,12.6,12.6,11.1,9.6,8.4,6.9,5.6,4.8
G,13.1,13.1,11.4,11.4,10,8.7,7.5,6.3,5.1,4.3
H,13.1,13.1,11.4,11.4,10,8.7,7.5,6.3,5.1,4.3
I,11.2,11.2,9.9,9.9,8.7,7.6,6.6,5.6,4.6,3.9
J,11.2,11.2,9.9,9.9,8.7,7.6,6.6,5.6,4.6,3.9
K,9,9,7.8,7.8,6.8,5.8,4.8,4,3.4,2.8
L,9,9,7.8,7.8,6.8,5.8,4.8,4,3.4,2.8
M,6.9,6.9,5.9,5.9,5.1,4.3,3.6,2.9,2.4,2
N,6.9,6.9,5.9,5.9,5.1,4.3,3.6,2.9,2.4,2
